999,839	999,846	999,852	999,859	999,865	999,871	999,877	999,882	999,888	999,893
999,898	999,903	999,908	999,913	999,917	999,921	999,925	999,929	999,933	999,936
999,94	999,943	999,946	999,949	999,952	999,954	999,956	999,959	999,961	999,962
999,964	999,966	999,967	999,968	999,969	999,97	999,971	999,971	999,972	999,972
999,972	999,972	999,972	999,971	999,971	999.970	999,969	999,968	999,967	999,965
999,964	999,962	999,96	999,958	999,956	999,954	999,951	999,949	999,946	999,943
999,94	999,937	999,934	999,93	999,926	999,923	999,919	999,915	999,91	999,906
999,901	999,897	999,892	999,887	999,882	999,877	999,871	999,866	999,86	999,854
999,848	999,842	999,836	999,829	999,823	999,816	999,809	999,802	999,795	999,788
999,781	999,773	999,765	999,758	999,75	999,742	999,734	999,725	999,717	999,708
999,699	999,691	999,682	999,672	999,663	999,654	999,644	999,635	999,625	999,615
999,605	999,595	999,584	999,574	999,563	999,553	999,542	999,531	999,52	999,509
999,497	999,486	999,474	999,462	999,451	999,439	999,426	999,414	999,402	999,389
999,377	999,364	999,351	999,338	999,325	999,312	999,299	999,285	999,272	999,258
999,244	999,23	999,216	999,202	999,188	999,173	999,159	999,144	999,129	999,114
999,099	999,084	999,069	999,054	999,038	999,022	999,007	998,991	998,975	998,958
998,943	998,926	998,91	999,894	998,877	998,86	998,843	998,826	998,809	998,792
998,775	998,757	998,74	998,722	998,704	998,686	998,668	998,65	998,632	998,614
998,595	998,577	998,558	998,539	998,52	998,502	998,482	998,463	998,444	998,425
998,405	998,385	998,366	998,346	998,326	998,306	998,286	998,265	998,245	998,224
998,204	998,183	998,162	998,141	998,12	998,099	998,078	998,057	998,035	998,014
997,992	997,971	997,949	997,927	997,905	997,883	997,86	997,838	997,816	997,793
997,77	997,747	997,725	997,702	997,679	997,656	997,632	997,609	997,585	997,562
997,538	997,515	997,491	997,467	997,443	997,419	997,394	997,37	997,345	997,321
997,296	997,272	997,247	997,222	997,197	997,172	997,146	997,121	997,096	997,07
997,045	997,019	996,993	996,967	996,941	996,915	996,889	996,863	996,836	996,81
996,783	996,757	996,73	996,703	996,676	996,649	996,622	996,595	996,568	996,54
996,513	996,485	996,458	996,43	996,402	996,374	996,346	996,318	996,29	996,262
996,233	996,205	996,176	996,148	996,119	996,09	996,061	996,032	996,003	995,974
995,945	995,915	995,886	995,856	995,827	995,797	995,767	995,737	995,707	995,677
995,647	995,617	995,586	995,556	995,526	995,495	995,464	995,433	995,403	995,372
995,341	995,31	995,278	995,247	995,216	995,184	995,153	995,121	995,09	995,058
995,026	994,997	994,962	994,93	994,898	994,865	994,833	994,801	994,768	994,735
994.703	994,67	994,637	994,604	994,571	994,538	994,505	994,472	994,438	994,405
994,371	994,338	994,304	994,27	994,236	994,202	994,168	994,134	994,1	994,066
994,032	993,997	993,963	993,928	993,893	993,859	993,824	993,789	993,754	993,719
993,684	993,648	993,613	993,578	993,543	993,507	993,471	993,436	993,4	993,364
993,328	993,292	993,256	993,22	993,184	993,148	993,111	993,075	993,038	993,002
992,965	992,928	992,891	992,855	992,818	992,78	992,743	992,706	992,669	992,631
992,594	992,557	992,519	992,481	992,444	992,406	992,368	992,33	992,292	992,254
992,215	992,177	992,139	992,1	992,062	992,023	991,985	991,946	991,907	992,868
991,83	991,791	991,751	991,712	992,673	991,634	991,594	991,555	991,515	991,476
991,436	991,396	991,357	991,317	991,277	991,237	991,197	991,157	991,116	991,076
991,036	990,995	990,955	990,914	990,873	990,833	990,792	990,751	990,71	990,669
990,628	990,587	990,546	990,504	990,463	990,421	990,38	990,338	990,297	990,255
990,213	990,171	990,129	990,087	990,045	.990,003	989,961	989,919	989,876	989,834
